1756067100, 15m, 21074439, FT8, M0PMI, IO82UE, 223, 'Rx', LU7ERZ, GF05OP, 100, -13
1756067115, 15m, 21074705, FT8, M0PMI, IO82UE, 223, 'Rx', DJ6HR, JO31LP, 230, -12
1756067130, 15m, 21075715, FT8, M0PMI, IO82UE, 223, 'Rx', DL2VEL, JN37VO04, 230, -12
1756067145, 15m, 21074585, FT8, M0PMI, IO82UE, 223, 'Rx', KB2OBF, FN02HD38, 291, -12
1756067174, 15m, 21074441, FT8, M0PMI, IO82UE, 223, 'Rx', IT9KMN, JM67NP, 248, 1
1756067174, 15m, 21076339, FT8, M0PMI, IO82UE, 223, 'Rx', EA5JUX, IM97PP, 281, -6
1756067174, 15m, 21076064, FT8, M0PMI, IO82UE, 223, 'Rx', R6DBA, KN96DQ, 54, -5
1756067174, 15m, 21075377, FT8, M0PMI, IO82UE, 223, 'Rx', PY2SR, GG66PU, 108, -5
1756067175, 15m, 21075816, FT8, M0PMI, IO82UE, 223, 'Rx', PY2JMH, GG66RJ66, 108, -15
1756067189, 15m, 21076177, FT8, M0PMI, IO82UE, 223, 'Rx', IK1RQX, JN44XD, 248, -2
1756067205, 15m, 21075791, FT8, M0PMI, IO82UE, 223, 'Rx', PT7PT, HI03MG, 108, -10
1756067219, 15m, 21074499, FT8, M0PMI, IO82UE, 223, 'Rx', LU2CHP, GF05SK, 100, -13
1756067219, 15m, 21075351, FT8, M0PMI, IO82UE, 223, 'Rx', N2LQ, FN12AC78, 291, -14
1756067220, 15m, 21076447, FT8, M0PMI, IO82UE, 223, 'Rx', AA0AM, EN31RX, 291, -18
1756067234, 15m, 21075655, FT8, M0PMI, IO82UE, 223, 'Rx', F6FLU, JN18AS33, 227, -5
1756067234, 15m, 21074498, FT8, M0PMI, IO82UE, 223, 'Rx', DO5OT, JO62WL95, 230, -5
1756067234, 15m, 21076499, FT8, M0PMI, IO82UE, 223, 'Rx', KA2BUG, FN30FR40, 291, -16
1756067235, 15m, 21075540, FT8, M0PMI, IO82UE, 223, 'Rx', SP9BCV, JO90WB, 269, -10
1756067190, 20m, 14075531, FT8, 2E0NBL, IO92II, 223, 'Rx', R3DLM, KO85MT, 54, -20
1756067201, 20m, 14074418, FT8, 2E0NBL, IO92II, 223, 'Rx', DG9MAQ, JN58LJ01, 230, -3
1756067201, 20m, 14074606, FT8, 2E0NBL, IO92II, 223, 'Rx', R3MAJ, KO97DN, 54, 11
1756067216, 20m, 14074328, FT8, 2E0NBL, IO92II, 223, 'Rx', OK1WCF, JO80BJ, 503, 4
1756067232, 20m, 14075502, FT8, 2E0NBL, IO92II, 223, 'Rx', SH5RJX, JO78HF30, 284, -19
1756067234, 20m, 14075324, FT8, 2E0NBL, IO92II, 223, 'Rx', DM2LAP, JO31, 230, -24
1756067207, 20m, 14075828, FT8, G1OVA, IO93GM, 223, 'Rx', TA7AO, KN90UX, 390, -14
1756067231, 20m, 14076203, FT8, G1OVA, IO93GM, 223, 'Rx', SQ8BWM, KO11EG, 269, 15
1756067235, 20m, 14076740, FT8, G1OVA, IO93GM, 223, 'Rx', 4J3DJ, LN30MS, 18, -13
1756067232, 20m, 14076231, FT8, G6IQI, IO91HA, 223, 'Rx', SQ8BWM, KO11EG, 269, 11
1756067237, 20m, 14075269, FT8, G6IQI, IO91HA, 223, 'Rx', N3WT, FM19EJ85IT, 291, -18
1756067237, 20m, 14075526, FT8, G6IQI, IO91HA, 223, 'Rx', SH5RJX, JO78HF30, 284, -11
1756067235, 20m, 14075698, FT8, 2E0OWM, IO91TU, 223, 'Rx', 9M25MN, OJ13CM, 299, -24
1756067126, 160m, 1840512, FT8, G4ZFJ, JO01HO, 223, 'Rx', F8BON, IN86WV, 227, -13
1756067235, 40m, 7076055, FT8, G4GHT, IO83UC03, 223, 'Rx', IK6CGO, JN63PF51, 248, 0
1756066979, 40m, 7075627, FT8, G1WFJ, IO82WM, 223, 'Rx', PD1EN, JO32BF99, 263, -10
1756066979, 40m, 7074506, FT8, G1WFJ, IO82WM, 223, 'Rx', DK8HC, JO42TH, 230, -13
1756066994, 40m, 7076355, FT8, G1WFJ, IO82WM, 223, 'Rx', DJ1TU, JN48TR45, 230, -6
1756066995, 40m, 7075782, FT8, G1WFJ, IO82WM, 223, 'Rx', SV1EKI, KM18RA, 236, -12
1756067039, 40m, 7074956, FT8, G1WFJ, IO82WM, 223, 'Rx', SP8JCF, KN09VU49, 269, -12
1756067054, 40m, 7074564, FT8, G1WFJ, IO82WM, 223, 'Rx', DL9PN, JN39PQ, 230, -10
1756067070, 40m, 7075844, FT8, G1WFJ, IO82WM, 223, 'Rx', SP9SM, JO90KD, 269, -13
1756067144, 40m, 7076229, FT8, G1WFJ, IO82WM, 223, 'Rx', M7NFV, JO02OQ, 223, -12
1756067188, 40m, 7074382, FT8, G1WFJ, IO82WM, 223, 'Rx', M0ABG, JO02SF, 223, -10
1756067190, 40m, 7075898, FT8, G1WFJ, IO82WM, 223, 'Rx', M0PFX, JO01DM, 223, -17
